title,absract,date,link,database,Base Model,Interface Type,Workflow Composition,Architecture,Agentic Role - Retrieval,Agentic Role - Personalization,Agentic Role - Risk assessment,Agentic Role - Tool use,Agentic Role - Other,Modality,SoTD - Interactional / Conversational,SoTD - Generated / Synthetic,SoTD - Clinically Collected Data,SoTD - Elicited Evidence,Mental Health Focus,Age Group,Location,Sex,DT - Screening / Triage,DT - Clinical Decision Support,DT - Therapeutic Interventions,DT - Documentation Generation,DT - Ethical / Legal support,DT - Education & Simulation,DT - Evidence & Benchmarking,DT - Other,Automated Evaluation - Applicability,Automated Evaluation - Language,Human Evaluation - Expert,Human Evaluation - User,Unnamed: 35,Unnamed: 36,published
We Care: Multimodal Depression Detection and Knowledge Infused Mental Health Therapeutic Response Generation,"The detection of depression through non-verbal cues has gained significant attention. Previous research predominantly centred on identifying depression within the confines of controlled laboratory environments, often with the supervision of psychologists or counsellors. Unfortunately, datasets generated in such controlled settings may struggle to account for individual behaviours in real-life situations. In response to this limitation, we present the Extended D-vlog dataset, encompassing a collection of 1, 261 YouTube vlogs. Additionally, the emergence of large language models (LLMs) like GPT3.5, and GPT4 has sparked interest in their potential they can act like mental health professionals. Yet, the readiness of these LLM models to be used in real-life settings is still a concern as they can give wrong responses that can harm the users. We introduce a virtual agent serving as an initial contact for mental health patients, offering Cognitive Behavioral Therapy (CBT)-based responses. It comprises two core functions: 1. Identifying depression in individuals, and 2. Delivering CBT-based therapeutic responses. Our Mistral model achieved impressive scores of 70.1% and 30.9% for distortion assessment and classification, along with a Bert score of 88.7%. Moreover, utilizing the TVLT model on our Multimodal Extended D-vlog Dataset yielded outstanding results, with an impressive F1-score of 67.8%",15-Jun-24,https://openalex.org/W4399794357,OpenAlex,Foundation model,Non-Chat Agent,Single Agent,Not Applicable,TRUE,TRUE,TRUE,FALSE,FALSE,"Text, Video, Images, Audio",TRUE,TRUE,Not Applicable,Interview (Questionnaire),6A7,Unspecified,Unspecified,Unspecified,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
An AI based mental health support chat-bot for cyber bullied victims,"In recent days, an unprecedented increase in cyberattacks has been seen globally. There are several cyberbullied victims who commit suicide every year as a consequence of their sensitive information being publicized. The victims who are being bullied or blackmailed need mental support and guidance on how to react. And some of the victims, due to defamation, may go as far as taking their lives. So, we've built two AI chatbots named Guidance Bot and Friendly Bot using Botpress and BrainShop API specifically for cyberbullying victims, as they may not directly plead for human help. Conversing with bots might seem more secure and reassuring than having a conversation with humans, as bots maintain secrecy. The bot comprehends the user's query and responds accordingly using natural language processing (NLP) and natural language understanding (NLU). We integrated our trained and developed chatbots into a website, which mainly includes three features, such as providing guidance on how to approach concerned authorities, providing information regarding cyberbullying, answering queries related to mental health, and finally assisting the victim's mental health. Moreover, we have implemented a WhatsApp redirection feature, enabling victims to effortlessly connect with mental health specialists by adding their contact numbers.",7-Dec-23,https://openalex.org/W4389428805,OpenAlex,Rule-based models,Chatbot,Non-Agent,Not Applicable,FALSE,FALSE,FALSE,FALSE,FALSE,Text,FALSE,TRUE,Not Applicable,Not Applicable,"6A7, 6B0",Unspecified,Unspecified,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
Lumina: Bridging Healthcare Knowledge Gaps Through AI-Powered Assistance,"Healthcare systems are increasingly incorporating artificial intelligence to address diverse medical needs, including improving access to healthcare resources and aiding non-medical individuals in understanding complex medical information. One such innovation is Lumina, a healthcare chatbot designed to provide personalised medical assistance, leveraging advanced AI technologies. Lumina aims to simplify medical processes such as wound detection, prescription analysis, and health insurance advisory through an integrated and user-friendly interface.Additionally, AI-powered psychometric analysis systems can assess an individual's stress levels and predict mental states by analyzing responses to dynamically generated questions, categorizing them into states like stable, depressive, impulsive, or anxious. These systems utilize sentiment analysis and logistic regression to provide personalized recommendations, enhancing mental health support and coping strategies.",4/17/25,https://openalex.org/W4409617143,OpenAlex,Foundation model,Chatbot,Non-Agent,Not Applicable,TRUE,TRUE,TRUE,FALSE,FALSE,Text,FALSE,FALSE,Not Applicable,Not Applicable,"6A7, 6B0, 6B4",Unspecified,Unspecified,Unspecified,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
"Advancing Conversational Psychotherapy: Integrating Privacy, Dual-Memory, and Domain Expertise with Large Language Models","Mental health has increasingly become a global issue that reveals the limitations of traditional conversational psychotherapy, constrained by location, time, expense, and privacy concerns. In response to these challenges, we introduce SoulSpeak, a Large Language Model (LLM)-enabled chatbot designed to democratize access to psychotherapy. SoulSpeak improves upon the capabilities of standard LLM-enabled chatbots by incorporating a novel dual-memory component that combines short-term and long-term context via Retrieval Augmented Generation (RAG) to offer personalized responses while ensuring the preservation of user privacy and intimacy through a dedicated privacy module. In addition, it leverages a counseling chat dataset of therapist-client interactions and various prompting techniques to align the generated responses with psychotherapeutic methods. We introduce two fine-tuned BERT models to evaluate the system against existing LLMs and human therapists: the Conversational Psychotherapy Preference Model (CPPM) to simulate human preference among responses and another to assess response relevance to user input. CPPM is useful for training and evaluating psychotherapy-focused language models independent from SoulSpeak, helping with the constrained resources available for psychotherapy. Furthermore, the effectiveness of the dual-memory component and the robustness of the privacy module are also examined. Our findings highlight the potential and challenge of enhancing mental health care by offering an alternative that combines the expertise of traditional therapy with the advantages of LLMs, providing a promising way to address the accessibility and personalization gap in current mental health services.",4-Dec-24,https://openalex.org/W4405088996,OpenAlex,Foundation model,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,FALSE,FALSE,FALSE,Text,TRUE,FALSE,Not Applicable,Not Applicable,general psychiatry,Unspecified,Unspecified,Unspecified,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
"""You tell me"": A Dataset of GPT-4-Based Behaviour Change Support Conversations","Conversational agents are increasingly used to address emotional needs on top of information needs. One use case of increasing interest are counselling-style mental health and behaviour change interventions, with large language model (LLM)-based approaches becoming more popular. Research in this context so far has been largely system-focused, foregoing the aspect of user behaviour and the impact this can have on LLM-generated texts. To address this issue, we share a dataset containing text-based user interactions related to behaviour change with two GPT-4-based conversational agents collected in a preregistered user study. This dataset includes conversation data, user language analysis, perception measures, and user feedback for LLM-generated turns, and can offer valuable insights to inform the design of such systems based on real interactions.",29-Jan-24,https://openalex.org/W4391376818,OpenAlex,Foundation model,Chatbot,Non-Agent,Not Applicable,,TRUE,,,TRUE,Text,TRUE,,,,general_psychiatry,"adolescence, young_adulthood, middle_adulthood, old",unspecified,Both,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,
Detecting anxiety and depression in dialogues: a multi-label and explainable approach,"Anxiety and depression are the most common mental health issues worldwide, affecting a non-negligible part of the population. Accordingly, stakeholders, including governments' health systems, are developing new strategies to promote early detection and prevention from a holistic perspective (i.e., addressing several disorders simultaneously). In this work, an entirely novel system for the multi-label classification of anxiety and depression is proposed. The input data consists of dialogues from user interactions with an assistant chatbot. Another relevant contribution lies in using Large Language Models (LLMs) for feature extraction, provided the complexity and variability of language. The combination of LLMs, given their high capability for language understanding, and Machine Learning (ML) models, provided their contextual knowledge about the classification problem thanks to the labeled data, constitute a promising approach towards mental health assessment. To promote the solution's trustworthiness, reliability, and accountability, explainability descriptions of the model's decision are provided in a graphical dashboard. Experimental results on a real dataset attain 90 % accuracy, improving those in the prior literature. The ultimate objective is to contribute in an accessible and scalable way before formal treatment occurs in the healthcare systems.",23-Dec-24,https://openalex.org/W4405768286,OpenAlex,Foundation model,Chatbot,Non-Agent,Not Applicable,TRUE,,,,TRUE,Text,TRUE,,,,"6A7, 6B0",age_unspecified,,Unspecified,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,,
Adaptive Mental Health And Mood Uplifting Chatbot,"Mental health concerns are on the rise worldwide, and the stigma and lack of confidentiality surrounding therapy make it difficult for many people to seek the help they need. In response to this problem, my research proposes the development of an AI chatbot that acts as a virtual psychologist, providing accessible and confidential mental health support. Using NLP technology, the chatbot will be able to understand and respond to user queries, offering personalized therapy sessions based on individual input. My paper explores various NLP models and techniques that can be used for the chatbot's development, as well as ethical and privacy considerations. We are truly passionate about the potential of this chatbot to revolutionize the mental health industry, providing affordable and accessible therapy while breaking down the stigma associated with seeking help. While there is still much work to be done to ensure the chatbot's reliability and effectiveness, We are excited to be at the forefront of this innovative new field, working towards a brighter future for mental health support.",23-Nov-23,https://openalex.org/W4388937838,OpenAlex,Deep Learning Models,Chatbot,Single Agent,Not Applicable,,TRUE,,,TRUE,Text,TRUE,,,,"6A7, 6B0, 6B4, 7A0",age_unspecified,unspecified,Unspecified,,,TRUE,,,,,,TRUE,,,TRUE,,,
On the Reliability of Large Language Models to Misinformed and Demographically-Informed Prompts,"Abstract We investigate and observe the behavior and performance of Large Language Model (LLM)‐backed chatbots in addressing misinformed prompts and questions with demographic information within the domains of Climate Change and Mental Health. Through a combination of quantitative and qualitative methods, we assess the chatbots' ability to discern the veracity of statements, their adherence to facts, and the presence of bias or misinformation in their responses. Our quantitative analysis using True/False questions reveals that these chatbots can be relied on to give the right answers to these close‐ended questions. However, the qualitative insights, gathered from domain experts, shows that there are still concerns regarding privacy, ethical implications, and the necessity for chatbots to direct users to professional services. We conclude that while these chatbots hold significant promise, their deployment in sensitive areas necessitates careful consideration, ethical oversight, and rigorous refinement to ensure they serve as a beneficial augmentation to human expertise rather than an autonomous solution. Dataset and assessment information can be found at https://github.com/tolusophy/Edge‐of‐Tomorrow .",8-Jan-25,https://openalex.org/W4406184544,OpenAlex,Foundation model,Chatbot,Single Agent,Not Applicable,,,TRUE,,TRUE,Text,,TRUE,,,general_psychiatry,age_unspecified,unspecified,Unspecified,,,,,,,TRUE,,TRUE,TRUE,,TRUE,,,
PsychoGAT: A Novel Psychological Measurement Paradigm through Interactive Fiction Games with LLM Agents,"Psychological measurement is essential for mental health, self-understanding, and personal development. Traditional methods, such as self-report scales and psychologist interviews, often face challenges with engagement and accessibility. While game-based and LLM-based tools have been explored to improve user interest and automate assessment, they struggle to balance engagement with generalizability. In this work, we propose PsychoGAT (Psychological Game AgenTs) to achieve a generic gamification of psychological assessment. The main insight is that powerful LLMs can function both as adept psychologists and innovative game designers. By incorporating LLM agents into designated roles and carefully managing their interactions, PsychoGAT can transform any standardized scales into personalized and engaging interactive fiction games. To validate the proposed method, we conduct psychometric evaluations to assess its effectiveness and employ human evaluators to examine the generated content across various psychological constructs, including depression, cognitive distortions, and personality traits. Results demonstrate that PsychoGAT serves as an effective assessment tool, achieving statistically significant excellence in psychometric metrics such as reliability, convergent validity, and discriminant validity. Moreover, human evaluations confirm PsychoGAT's enhancements in content coherence, interactivity, interest, immersion, and satisfaction.",2/19/24,https://openalex.org/works/w4402671526,OpenAlex,Foundation model,Chatbot,Multi-Agent,Team Architecture,,TRUE,TRUE,,TRUE,Text,TRUE,,,,general_psychiatry,"adolescence, young_adulthood",unspecified,Unspecified,FALSE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,2024-02-19T18:00:30Z
Synergistic Precision: Integrating Artificial Intelligence and Bioactive Natural Products for Advanced Prediction of Maternal Mental Health During Pregnancy,"Background: Present-day advancements in Artificial Intelligence (AI) and Machine Learning offer promising avenues for addressing psychological health challenges in pregnant women. Despite significant strides, there remains a gap in effective, accessible and personalised interventions for managing mental health risks during pregnancy, which can have profound implications on both maternal and fetal well-being. Aim: This study aims to develop a predictive model for monitoring and assessing the psychological health of pregnant women. The goal is to create an accessible tool using machine learning algorithms and sustainable technologies to provide early warnings and support interventions for mental health issues. Methods: The research utilised a dataset comprising psychological health indicators of pregnant women, including symptoms such as anxiety, depression and sleep disturbances. Machine Learning models, including Random Forest, Decision Tree, Support Vector Machine (SVM), Logistic Regression and Gaussian Naive Bayes, were employed to classify mental health status. The models were evaluated using metrics like accuracy, precision, recall and F1-score. A web-based chatbot was developed to integrate the predictive model, providing real-time mental health assessments and personalised recommendations. Results: The Random Forest model demonstrated superior performance, achieving an accuracy of 92%, outperforming other models like SVM and Decision Tree, which achieved accuracies of 88% and 85%, respectively. Integrating the model into a web-based chatbot provided users with an interactive and user-friendly platform for mental health monitoring. Initial feedback from users indicated a 70% satisfaction rate with the tool’s ease of use and perceived accuracy. Conclusion: The study successfully developed a machine learning-based predictive model for assessing the psychological health of pregnant women, integrated into a web-based chatbot. This approach offers a promising, scalable solution for early detection and management of mental health challenges during pregnancy, potentially enhancing maternal and fetal outcomes through timely interventions.",24-Nov,https://openalex.org/W4405211202,OpenAlex,Machine Learning Models,Chatbot,Non-Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,FALSE,Text,,,EHRs,Interview (Questionnaire),6.00E+02,unspecified,India,Female only,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
Mental Illness Aiding through Machine Learning and Soft-Computing,"This research presents an innovative chatbot system aimed at addressing mental health challenges through a fusion of Natural Language Processing (NLP) and Artificial Intelligence (AI). The chatbot stands out by offering personalized therapeutic conversations and tailored activity recommendations, enhancing the well-being of users. By integrating web scraping, the system enriches user experiences with relevant online stories. The study introduces a hybrid approach for response accuracy and includes multilingual support to cater to a diverse user base. The results of this study demonstrate substantial enhancements in both response accuracy and sentiment analysis. Overall, this chatbot system has the potential to make a significant impact on mental health support, showcasing the advancements in technology for the betterment of user well-being in an ever-evolving digital landscape.",12-Feb-24,https://openalex.org/W4391743076,OpenAlex,Deep Learning Models,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,FALSE,FALSE,TRUE,Text,TRUE,TRUE,,,6.00E+02,age_unspecified,Unspecified,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
"USE OF AI IN MHEALTH MOBILE APPLICATIONS: THE INFLUENCE OF VIRTUAL THERAPISTS' VISUAL CHARACTERISTICS ON USER PERCEPTION""","Implementing artificial intelligence within the applications for mental health has improved their services. As the most common application, Chatbots that simulate communication with a therapist stand out. With this feature, individuals who shy away from accessing therapy due to the stigma associated with mental health have the opportunity to access therapy without fear of negative feedback. This research aimed to investigate the impact of virtual therapists' visual characteristics on users' reactions. Six characters, created using MetaHuman Creator software and augmented with audio recordings, were evaluated by respondents on parameters such as likability, naturalness of appearance, excitement, positivity, and sense of trustworthiness. Video stimuli were employed to encourage these assessments. Results indicated that the third female character received the highest likability rating, while the first male character was considered the most natural and reliable. The first female character aroused the most incredible excitement and positive feelings. In contrast, the second male character received the lowest ratings across multiple parameters, and the second female character scored poorly overall. Statistical analyses, including T-tests and one-factor ANOVA, revealed no significant variations across characters for most parameters except for excitement. Post hoc tests highlighted notable differences, especially between the second female character, other female characters, and the first male character. Correlation analysis revealed a strong positive relationship between likability and the naturalness of appearance with user trust. These findings underscore the importance of planning virtual therapists' visual characteristics to suit users, revealing interesting observations such as respondents' perceived differences in character voices and the greater attention to detail exhibited by male subjects towards male characters.",16-Jul-05,https://openalex.org/W4403643983,OpenAlex,Rule-based models,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,TRUE,"Audio,Video",FALSE,TRUE,Not Applicable,Not Applicable,general_psychiatry,"young_adulthood, middle_adulthood",sebria,Both,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
Rule-Based Chatbot for Early Self-Depression Indication: A Promising Approach,"Depression is a prevalent mental health condition worldwide, often characterized by persistent sadness, loss of interest or pleasure, and feelings of worthlessness. Depression is the leading cause of mental health issues worldwide, and it is becoming more severe without self-awareness, early screening, and further medication. Early detection and intervention are critical in mitigating its adverse effects. Leveraging advancements in Artificial Intelligence (AI), particularly in Natural Language Processing (NLP), chatbots have emerged as potential tools for early depression indication. Chatbots are beneficial tools in the mental health domain, such as in assisting mental health risk users. This paper presents the development of a rule-based chatbot aimed at detecting early signs of depression through conversational interactions by screening symptoms of depression. Predefined rules are developed to ensure the assessment can generate reliable results. The rule-based chatbot is developed to assist in depression indication assessment for mental health-risk individuals at an early stage and provide the risky patient with appropriate support and resources. The chatbot assessment has adopted the Depression Anxiety and Stress Scale 21 (DASS21) instrument. Based on the System Usability Scale (SUS) results, the rule-based chatbot has been accepted by all 30 respondents with good acceptance of an average SUS score of 77.2. Thus, the outcome of this chatbot can be utilized as a professional platform to encourage self-disclosure of mental depression indications for users, and it can be beneficial as the initial reference before recommending further action before the earlier help-seeking.",9/18/24,https://openalex.org/W4404889071,OpenAlex,Rule-based models,Chatbot,Single Agent,Not Applicable,FALSE,FALSE,TRUE,FALSE,FALSE,Text,FALSE,FALSE,FALSE,Interview (Questionnaire),6A7,age_unspecified,malaysia,Unspecified,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
AI-driven digital twin framework for personalized mental health monitoring and intervention,A growing global mental health crisis encounters ongoing obstacles due to discriminatory attitudes and spatial needs and rising treatment expenses. This study develops an innovative dialogue platform that offers personalized mental health assessments alongside prescribing specific virtual care recommendations according to real-time identified severity levels. Through Digital Twin technology a virtual mental state model updates and analyses patient data to generate tailored care experiences. Through a precise AI chatbot developed in collaboration with clinical psychopathologists our system operates as an efficient mental health symptom measurement tool. The BERT-based approach trained specifically on E-DAIC data delivers depression and other mental distress level identification features and classification functionality. The system employed NLP technology to provide feedback about individual psychological state during user dialogues which generated directed guidance. Our system underwent extensive testing that demonstrated 85% classification accuracy surpassing conventional methods. User tests validated the system interface model through a satisfaction score of 90% from satisfied participants. Research results validate that AI-driven mental health assessments assess psychological states accurately while delivering accessible reliable results as part of emotional support while eliminating conventional barriers to treatment. Digital twins revolutionize mental healthcare through their ability to develop stigma-free services in a new digital age where scalability and affordable treatment become possible.,2/15/25,https://openalex.org/W4407573342,OpenAlex,Small pre-trained model,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,FALSE,FALSE,TRUE,"Text, Audio",TRUE,FALSE,Not Applicable,Interview (Questionnaire),6A7,age_unspecified,unspecified,Unspecified,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
Integrating AI chatbots into mental health strategies: Pre-post intervention study on support for unemployed graduates in China,"Artificial intelligence (AI) plays a crucial role in tertiary education; reshaping teaching and learning experiences, streamlining administrative tasks, and driving research innovation. This study aims to assess the effectiveness of AI chatbot interventions on unemployed university graduates in China, in reducing anxiety and enhancing career readiness. A mixed-methods research design was employed, incorporating a quantitative approach using a randomized pretest-posttest control group design and a qualitative approach involving focus group discussion. Sixty unemployed graduates in China were randomly assigned to an experimental group (receiving eight structured AI chatbot counseling via Chat GPT); and control group (receiving human counseling and supplementary activities). Anxiety and career readiness were assessed using the Generalized Anxiety Disorder-7 scale (GAD-7) and Career Adapt-Abilities Scale (CAAS). The findings indicated that, following the intervention, the experimental group demonstrated significant improvements in both anxiety and career readiness, and greater than those measured in the control group. In terms of user experience, AI chatbots in counseling offer several advantages, including enhanced accessibility, constant availability, and anonymity. According to university policymakers, counselors, and technology specialists, AI chatbots can be effectively utilized by a large number of students to address diverse mental health concerns, ensuring cost efficiency compared to human counseling. Therefore, AI chatbot interventions represent as a feasible tool within tertiary education for delivering mental health and career development services under the guidance and oversight of counselors or educational advisors. Successful integration requires preparation in terms of leadership support, institutional policies, resource allocation, and capacity building for both students and staff.",1/1/25,https://openalex.org/W4411573981,OpenAlex,Foundation model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,TRUE,Text,FALSE,FALSE,Not Applicable,Interview (Questionnaire),6B0,adolescence,china,Unspecified,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
Emotion_aware psychological first aid: Integrating BERT_based emotional distress detection with Psychological First Aid_Generative Pre_Trained Transformer chatbot for mental health support,"Abstract Mental health disorders have a global prevalence of 25%, according to the WHO, and this is exacerbated by factors such as stigma, geographical location, and a worldwide shortage of practitioners. Mental health chatbots have been developed to address these barriers, but these systems lack key features such as emotion recognition, personalisation, multilingual support, and ethical appropriateness. This paper introduces an innovative mental health support system that integrates BERT‚Äêbased emotional distress detection with a psychological first aid (PFA)‚Äêgenerative pre‚Äêtrained transformer (PFA‚ÄêGPT) model, providing an emotion‚Äêaware PFA chatbot. The methodology leverages deep learning models, utilising bidirectional encoder representations from transformers (BERT) for emotional distress detection and fine‚Äêtuning GPT‚Äê3.5 on therapy transcripts for PFA chatbot development. The findings demonstrate BERT's superior accuracy (93%) for emotional distress detection compared to bidirectional long short‚Äêterm memory. The multilingual PFA chatbot developed using the PFA‚ÄêGPT model demonstrated superior BERT scores (exceeding 83%) and proficiently provided ethical PFA. A proof of concept has been developed to illustrate the integration of the emotional distress detection model with the novel generative conversational agent for PFA. This integrated approach holds significant potential in overcoming existing barriers to mental health support and has the potential to transform mental health support, offering timely and accessible care through AI‚Äêpowered psychological interventions.",25-Jan-25,https://openalex.org/W4406820817,OpenAlex,Foundation model,Chatbot,Multi-Agent,Flat Architecture,TRUE,TRUE,FALSE,FALSE,TRUE,Text,TRUE,FALSE,Not Applicable,Interview (Questionnaire),general_psychiatry,age_unspecified,unspecified,Unspecified,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
On the reliability of Large Language Models to misinformed and demographically informed prompts,"Abstract We investigate and observe the behavior and performance of Large Language Model (LLM)‚Äêbacked chatbots in addressing misinformed prompts and questions with demographic information within the domains of Climate Change and Mental Health. Through a combination of quantitative and qualitative methods, we assess the chatbots' ability to discern the veracity of statements, their adherence to facts, and the presence of bias or misinformation in their responses. Our quantitative analysis using True/False questions reveals that these chatbots can be relied on to give the right answers to these close‚Äêended questions. However, the qualitative insights, gathered from domain experts, shows that there are still concerns regarding privacy, ethical implications, and the necessity for chatbots to direct users to professional services. We conclude that while these chatbots hold significant promise, their deployment in sensitive areas necessitates careful consideration, ethical oversight, and rigorous refinement to ensure they serve as a beneficial augmentation to human expertise rather than an autonomous solution. Dataset and assessment information can be found at https://github.com/tolusophy/Edge‚Äêof‚ÄêTomorrow .",1/8/25,https://openalex.org/W4406184544,OpenAlex,Foundation model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,TRUE,FALSE,FALSE,Text,FALSE,TRUE,Not Applicable,Not Applicable,general_psychiatry,age_unspecified,unspecified,Unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,
MADP: Multi-Agent Deductive Planning for Enhanced Cognitive-Behavioral Mental Health Question Answer,"The Mental Health Question Answer (MHQA) task requires the seeker and supporter to complete the support process in one-turn dialogue. Given the richness of help-seeker posts, supporters must thoroughly understand the content and provide logical, comprehensive, and well-structured responses. Previous works in MHQA mostly focus on single-agent approaches based on the cognitive element of Cognitive Behavioral Therapy (CBT), but they overlook the interactions among various CBT elements, such as emotion and cognition. This limitation hinders the models' ability to thoroughly understand the distress of help-seekers. To address this, we propose a framework named Multi-Agent Deductive Planning (MADP), which is based on the interactions between the various psychological elements of CBT. This method guides Large Language Models (LLMs) to achieve a deeper understanding of the seeker's context and provide more personalized assistance based on individual circumstances. Furthermore, we construct a new dataset based on the MADP framework and use it to fine-tune LLMs, resulting in a specialized model named MADP-LLM. We conduct extensive experiments, including comparisons with multiple LLMs, human evaluations, and automatic evaluations, to validate the effectiveness of the MADP framework and MADP-LLM.",1/27/25,https://openalex.org/W4406881038,OpenAlex,Foundation model,Chatbot,Multi-Agent,Hybrid Architecture,FALSE,TRUE,FALSE,FALSE,TRUE,Text,TRUE,TRUE,Not Applicable,Not Applicable,general_psychiatry,age_unspecified,unspecified,Unspecified,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
LLM-empowered Chatbots for Psychiatrist and Patient Simulation: Application and Evaluation,"Empowering chatbots in the field of mental health is receiving increasing amount of attention, while there still lacks exploration in developing and evaluating chatbots in psychiatric outpatient scenarios. In this work, we focus on exploring the potential of ChatGPT in powering chatbots for psychiatrist and patient simulation. We collaborate with psychiatrists to identify objectives and iteratively develop the dialogue system to closely align with real-world scenarios. In the evaluation experiments, we recruit real psychiatrists and patients to engage in diagnostic conversations with the chatbots, collecting their ratings for assessment. Our findings demonstrate the feasibility of using ChatGPT-powered chatbots in psychiatric scenarios and explore the impact of prompt designs on chatbot behavior and user experience.",5/23/23,https://openalex.org/W4378464713,OpenAlex,Foundation model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,TRUE,Text,FALSE,TRUE,Not Applicable,Not Applicable,general_psychiatry,"adolescence, young_adulthood",China,Both,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
"NeuroSafe-Advancing Mental Health using AI, ML and Blockchain","This study offers a novel platform for mental health support that incorporates state-of-the-art technology to improve user experience. The platform analyzes user journals using BERT-based emotion analysis, and it generates weekly reports that show emotional trends. By utilizing blockchain technology, individuals can grant and withdraw therapist access as needed, while also ensuring safe record-keeping. Therapists can promote cooperative and private treatment by safely uploading session recordings to the blockchain. Real-time help is provided via a generative AI-based chatbot that makes use of LSTM and Seq2Seq architectures, and peer interactions are facilitated by a community chat app. The platform's usefulness is demonstrated by the results, and user feedback validates its influence on mental health assistance. This project creates a user-centric framework that integrates blockchain security, emotion analysis, and AI-driven interactions to provide a holistic approach to mental health.",5/6/24,https://openalex.org/W4396666866,OpenAlex,Small pre-trained model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,TRUE,Text,FALSE,TRUE,Not Applicable,Systematic reviews / Meta analysis,general_psychiatry,age_unspecified,unspecified,Unspecified,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
